;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
QUALIFICAÇÃO;NOME;GRAU;DECRETO;PORTARIA;;;
Professor;JOÃO ANTONIO ZUFFO;Cavaleiro;19/10/2010;;;;
SO QSS SAD;JOÃO ANTUNES DE VASCONCELLOS FILHO;Cavaleiro;29/09/2009;;;;
Maj Brig Ar;JOÃO ARELANO DOS PASSOS;Comendador;19/10/1965;;;;
C Alte;JOÃO ARTHUR DO CARMO HILDEBRANDT;Comendador;04/10/2007;;;;
Embaixador;JOÃO AUGUSTO DE ARAÚJO CASTRO;Grande-Oficial;02/09/1963;;;;
Embaixador;JOÃO AUGUSTO DE MÉDICIS;Grande-Oficial;15/09/1982;;;;
Cel Av R/1;JOÃO AUGUSTO NINI DE CAMPOS;Oficial;28/09/1999;;;;
Deputado Federal (RS);JOÃO AUGUSTO RIBEIRO NARDES;Grande-Oficial;26/09/2001;;;;
SO QSS SAD;JOÃO BALBINO DO NASCIMENTO;Cavaleiro;14/10/1992;;;;
Senhor;JOÃO BAPTISTA AMARANTE FILHO;Cavaleiro;12/09/1990;;;;
Doutor;JOÃO BAPTISTA CORDEIRO GUERRA;Grande-Oficial;15/09/1982;;;;
Senhor;JOÃO BAPTISTA DE AZEVEDO ANDRADE;Oficial;17/09/1980;;;;
Advogado;JOÃO BAPTISTA DE OLIVEIRA;Cavaleiro;;3.346/MD;08/09/2017;;
Gen Ex;JOÃO BAPTISTA DE OLIVEIRA FIGUEIREDO;Grã-Cruz;15/03/1979;;;;
Coronel Aviador;JOÃO BAPTISTA FONSECA JÚNIOR;Cavaleiro;20/09/2019;;;;
Cel (Ex);JOÃO BAPTISTA MALAN DE PAIVA CHAVES;Oficial;01/10/1975;;;;
Mal Ex;JOÃO BAPTISTA MASCARENHAS DE MORAES;Grande-Oficial;14/10/1953;;;;
SO QSS SGS;JOÃO BAPTISTA MOREIRA BESSA;Cavaleiro;20/09/1984;;;;
Senhor;JOÃO BAPTISTA NUN'ALVARES FERREIRA ALVES;Cavaleiro;16/09/1998;;;;
Alte Esq;JOÃO BAPTISTA PAOLIELLO;Grande-Oficial;08/09/1989;;;;
Embaixador;JOÃO BAPTISTA PINHEIRO;Grande-Oficial;04/10/1976;;;;
Ten Cel Int;JOÃO BAPTISTA STORINO;Oficial;05/10/1977;;;;
Cap QOEA SVA R/1;JOÃO BATISTA ABRANCHES DA SILVA;Cavaleiro;19/10/2010;;;;
Doutor;JOÃO BATISTA ARAÚJO LEMGRUBER;Cavaleiro;17/09/1980;;;;
Gen Bda;JOÃO BATISTA BEZERRA LEONEL FILHO;Comendador;02/10/2017;;;;
Coronel Aviador;JOÃO BATISTA CAVALCANTE JUNIOR;Oficial;20/09/2019;;;;
1S QSS SAD;JOÃO BATISTA CORREIA;Cavaleiro;29/09/2009;;;;
Cel Av R/1;JOÃO BATISTA CREMA;Cavaleiro;26/09/2000;;;;
Deputado Federal;JOÃO BATISTA DA SILVA FAGUNDES;Grande-Oficial;20/09/1984;;;;
Doutor;JOÃO BATISTA DE ABREU;Grande-Oficial;05/09/1988;;;;
Senador (TO);JOÃO BATISTA DE JESUS RIBEIRO;Grande-Oficial;01/10/2003;;;;
Cel Med;JOÃO BATISTA DE LIMA NOCE;Oficial;13/10/1969;;;;
Deputado;JOÃO BATISTA DE VASCONCELLOS TÔRRES;Grande-Oficial;07/10/1968;;;;
Ten Cel Av;JOÃO BATISTA DIAS MENEZES;Oficial;05/09/1988;;;;
Cel PM (SP);JOÃO BATISTA DOS SANTOS;Oficial;17/10/2002;;;;
SO QSS BMA;JOÃO BATISTA FUSQUINE;Cavaleiro;01/10/2003;;;;
Desembargador;JOÃO BATISTA GOMES MOREIRA;Oficial;20/09/2006;;;;
Procurador de Justiça;JOÃO BATISTA MACHADO BARBOSA;Oficial;06/09/2004;;;;
Cel Av;JOÃO BATISTA OLIVEIRA XAVIER;Oficial;21/10/2011;;;;
1S QSS SAD;JOÃO BATISTA PEREIRA DOS SANTOS;Cavaleiro;21/10/2013;; ;;
SO QSS SAD;JOÃO BATISTA PEREIRA DUARTE;Cavaleiro;22/10/2014;;;;
SO QSS BMT;JOÃO BATISTA PEREIRA VALADÃO;Cavaleiro;11/09/1996;;;;
Deputado;JOÃO BATISTA RAMOS;Comendador;07/10/1968;;;;
Cel Av R/1;JOÃO BATISTA SILVA TAVARES;Cavaleiro;29/09/2009;;;;
Cel Av;JOÃO BATISTA STEVANATO;Cavaleiro;06/09/2004;;;;
Cel Inf (EB);JOÃO BATISTA STEVAUX;Oficial;21/10/2011;;;;
V Alte;JOÃO BATISTA TELES DE ARAGÃO;Comendador;04/10/1976;;;;
2º Ten QOEA;JOÃO BATISTA VEIGA;Cavaleiro;12/09/1995;;;;
Doutor;JOÃO BELCHIOR MARQUES GOULART;Grã-Cruz;08/09/1961;;;;
Secretário Nacional de Justiça;JOÃO BENEDICTO DE AZEVEDO MARQUES;Oficial;26/09/2001;;;;
Secretário de Orçamento Federal;JOÃO BERNARDO DE AZEVEDO BRINGEL;Comendador;07/10/2004;;;;
Gen Div;JOÃO BINA MACHADO;Grande-Oficial;09/10/1972;;;;
CMG;JOÃO BORGES PEREIRA;Oficial;15/09/1982;;;;
Administrador;JOÃO BOSCO ALTOÉ;Cavaleiro;01/10/2003;;;;
Maj Av;JOÃO BOSCO AUGUSTO CORREIA DE OLIVEIRA;Oficial;25/09/1979;;;;
Senhor;JOÃO BOSCO DA COSTA JÚNIOR;Cavaleiro;;3.210/GM-MD;25/09/2020;;
Ten Cel Av;JOÃO BOSCO DA CUNHA FERREIRA;Cavaleiro;22/10/2014;;;;
Cap QOEA Fot;JOÃO BOSCO DA SILVA;Cavaleiro;06/09/2004;;;;
Cel Int;JOÃO BOSCO DE SALES;Oficial;17/10/2002;;;;
Cel Av;JOÃO BOSCO LÚCIO DA SILVA FÉLIX;Oficial;21/10/2013;; ;;
Jornalista;JOÃO BOSCO RIBEIRO;Cavaleiro;26/09/2000;;;;
Doutor;JOÃO BRÍGIDO BEZERRA LIMA;Comendador;26/09/2000;;;;
Embaixador;JOÃO CABRAL DE MELLO NETO;Comendador;25/09/1981;;;;
Doutor;JOÃO CAFÉ FILHO;Grã-Cruz;24/08/1954;;;;
Ten Brig Ar;JOÃO CAMARÃO TELLES RIBEIRO;Grã-Cruz;04/10/1976;;;;
Doutor;JOÃO CAMILO PENNA;Grande-Oficial;25/09/1979;;;;
Gen Ex;JOÃO CAMILO PIRES DE CAMPOS;Grande-Oficial;22/10/2014;;;;
Maj Brig Ar;JOÃO CAMPOS FERREIRA FILHO;Grande-Oficial;13/10/2020;;;;
Empresário;JOÃO CANDIDO BALA;Cavaleiro;26/09/2005;;;;
1º Ten QOEA;JOÃO CÂNDIDO BÊNITZ DA ROSA;Cavaleiro;15/10/1963;;;;
Cel Av;JOÃO CARLOS ARAÚJO AMARAL;Oficial;13/10/2016;;;;
Gen Ex;JOÃO CARLOS BARRETO;Grande-Oficial;17/10/1960;;;;
Cel Av;JOÃO CARLOS BIENIEK;Cavaleiro;19/10/2010;;;;
SO QSS BET;JOÃO CARLOS DA SILVA CAMPOS;Cavaleiro;26/09/2001;;;;
Cel Int;JOÃO CARLOS DA SILVA CARDOSO;Cavaleiro;19/10/2010;;;;
Comandante;JOÃO CARLOS DAS NEVES MOREIRA;Cavaleiro;17/12/1985;;;;
Brig Med;JOÃO CARLOS DE ANDRADE FIGUEIREDO;Oficial;08/09/1989;;;;
Cel Int;JOÃO CARLOS DE CASTRO FRANZEN;Cavaleiro;09/10/1956;;;;
Diretor da Secretaria da 3ª/1ª CJM;JOÃO CARLOS DE FIGUEIREDO ROCHA;Cavaleiro;;3.626/GM-MD;29/08/2019;;
Comandante;JOÃO CARLOS DE MATTOS DODEBEI;Cavaleiro;16/09/1986;;;;
Cel Av Ref;JOÃO CARLOS DE OLIVEIRA CASTRO;Oficial;05/09/1988;;;;
Deputado Federal;JOÃO CARLOS DE PETRIBÚ DÉ CARLI;Grande-Oficial;20/09/1984;;;;
Embaixador;JOÃO CARLOS DE SOUZA-GOMES;Grande-Oficial;01/10/2003;;;;
Senhor;JOÃO CARLOS DIAS;Cavaleiro; ;2.955/MD;22/10/2013;;
Ten Cel Av;JOÃO CARLOS DOS SANTOS;Oficial;02/10/1978;;;;
Capitão-de-Mar-e-Guerra (FN);JOÃO CARLOS DOS SANTOS CHEREM;Oficial;20/10/2015;;;;
SO QSS BMA;JOÃO CARLOS EONEZAVA;Cavaleiro;13/10/2016;;;;
Engenheiro;JOÃO CARLOS FAGUNDES ALBERNAZ;Comendador;01/10/2003;;;;
Brig Int;JOÃO CARLOS FERNANDES CARDOSO;Comendador;07/10/1994;;;;
SO QSS SGS;JOÃO CARLOS FERREIRA SOARES;Cavaleiro;22/10/2014;;;;
Brig Ar;JOÃO CARLOS FRANCO DE SOUZA;Comendador;17/10/2002;;;;
V Alte;JOÃO CARLOS GONÇALVES CAMINHA;Comendador;01/10/1975;;;;
Professor;JOÃO CARLOS MACHADO;Oficial;20/09/1984;;;;
SO QSS BMA;JOÃO CARLOS MARTINS;Cavaleiro;01/10/2003;;;;
Engenheiro;JOÃO CARLOS MATAREZI;Cavaleiro;;2.818/MD;22/10/2012;;
CMG;JOÃO CARLOS PALHARES DOS SANTOS;Oficial;12/10/1964;;;;
Gen Bda;JOÃO CARLOS PEDROZA RÊGO;Comendador;20/09/2006;;;;
1º Ten Av;JOÃO CARLOS PEREIRA DE SANTANA;Cavaleiro;23/09/1993;;;;
Senhor;JOÃO CARLOS PESSOA BOSCARDIM;Oficial;25/09/1979;;;;
Ministro de 2ª Classe;JOÃO CARLOS PESSOA FRAGOSO;Comendador;02/10/1978;;;;
Cel Med;JOÃO CARLOS RODRIGUES DE AZEREDO;Cavaleiro;19/10/2010;;;;
Gen Div;JOÃO CARLOS ROTTA;Oficial;25/09/1979;;;;
Gen Div;JOÃO CARLOS VILELA MORGERO;Grande-Oficial;04/10/2007;;;;
Deputado Federal (MA);JOÃO CASTELO RIBEIRO GONÇALVES;Grande-Oficial;06/09/2004;;;;
Gen Bda;JOÃO CESAR ZAMBÃO DA SILVA;Comendador;25/09/2008;;;;
Gen Bda;JOÃO CHALELLA JÚNIOR;Comendador;22/10/2014;;;;
Senhor;JOÃO CLAUDINO FERNANDES;Cavaleiro; ;2.955/MD;22/10/2013;;
Embaixador;JOÃO CLEMENTE BAENA SOARES;Grande-Oficial;05/10/1977;;;;
Cel Med;JOÃO CLEMENTINO DE SOUZA SANTOS;Oficial;23/09/1993;;;;
Maj Brig Ar;JOÃO CORRÊA DIAS COSTA;Grande-Oficial;22/10/1948;;;;
Gen Div;JOÃO COSTA;Comendador;17/10/1966;;;;
Gen Bda;JOÃO CRISÓSTOMO DE SOUZA;Oficial;20/09/1983;;;;
Senador;JOÃO DA ROCHA RIBEIRO DIAS;Comendador;23/09/1993;;;;
Cel Av;JOÃO DA SILVA PINTO;Oficial;14/10/1992;;;;
Senhor;JOÃO DARCY RUGGERI;Oficial;20/09/2006;;;;
Desembargador;JOÃO DAVID DE SOUZA FILHO;Oficial;14/10/1992;;;;
Mal Ar;JOÃO DE ALMEIDA;Grande-Oficial;17/10/1960;;;;
Maj Adm;JOÃO DE BARROS TORRES;Oficial;20/09/1983;;;;
Deputado;JOÃO DE BRITO ALBUQUERQUE VEIGA;Comendador;15/10/1963;;;;
Senhor;JOÃO DE CARVALHO OLIVEIRA;Oficial;05/10/1977;;;;
Doutor;JOÃO DE LIMA TEIXEIRA;Grande-Oficial;25/09/1979;;;;
Embaixador;JOÃO DE MENDONÇA LIMA NETO;Grande-Oficial;19/10/2010;;;;
Doutor;JOÃO DE OLIVEIRA CASTRO VIANNA JÚNIOR;Oficial;15/10/1963;;;;
Deputado;JOÃO DE PAIVA MENEZES;Grande-Oficial;18/10/1961;;;;
Mal Ex;JOÃO DE SEGADAS VIANNA;Grande-Oficial;11/10/1962;;;;
Cel Inf;JOÃO DENISON MAIA CORREIA;Oficial;20/10/2015;;;;
Advogado;JOÃO DENTICE;Comendador;07/10/1968;;;;
Comandante;JOÃO DIMAS RIBEIRO;Cavaleiro;26/09/2000;;;;
Maj Av;JOÃO DURVAL DE LION;Oficial;25/09/1979;;;;
Gen Div;JOÃO DUTRA CASTILHO;Grande-Oficial;13/10/1969;;;;
Gen Bda;JOÃO EDIE KRAEMER;Oficial;01/10/1975;;;;
Gen Div;JOÃO EDISON MINNICELLI;Grande-Oficial;19/10/2012;;;;
Doutor;JOÃO EDUARDO CERDEIRA DE SANTANA;Grande-Oficial;12/09/1990;;;;
Cel Av;JOÃO EDUARDO MAGALHÃES MOTTA;Oficial;15/10/1951;;;;
Ten Cel Esp Av;JOÃO EMENÉSIO PINTO;Cavaleiro;22/10/1948;;;;
Empresário;JOÃO EMÍLIO DE OLIVEIRA FILHO;Oficial; ;2.954/MD;22/10/2013;;
SO QSS BMA;JOÃO ESMÉRIO DA SILVA;Cavaleiro;08/09/1989;;;;
Senhor;JOÃO ESTÁCIO DE FREITAS NETO;Oficial;25/09/2008;;;;
Advogado;JOÃO ESTENIO CAMPELO BEZERRA;Oficial; ;2.954/MD;22/10/2013;;
Brig Int;JOÃO EVANGELISTA FONTES;Comendador;16/09/1998;;;;
Cel Av Ref;JOÃO FARES NETTO;Oficial;20/09/1985;;;;
Brig Pil Av;JOÃO FAUSTINO DE ALBUQUERQUE DE FREITAS;Comendador;06/03/1958;;;;
Deputado Federal (BA);JOÃO FELIPE DE SOUZA LEÃO;Grande-Oficial;26/09/2000;;;;
Coronel de Infantaria;JOÃO FELIPE DIAS ALVES;Oficial;20/09/2019;;;;
Maj Esp Av;JOÃO FELIPE SALIM;Cavaleiro;07/10/1968;;;;
Maj Brig Ar;JOÃO FELIPPE BRACK;Grande-Oficial;20/09/1983;;;;
Ten Brig Ar;JOÃO FELIPPE SAMPAIO DE LACERDA JÚNIOR;Grã-Cruz;23/09/1993;;;;
Cap QOEA Fot R/1;JOÃO FERREIRA DA SILVA JÚNIOR;Cavaleiro;19/10/2010;;;;
SO QSS SEL;JOÃO FERREIRA GONÇALVES;Cavaleiro;26/09/2000;;;;
Ten Brig Ar Eng;JOÃO FRANCISCO DE AZEVEDO MILANEZ FILHO;Grã-Cruz;13/10/1969;;;;
SO QSS SML;JOÃO FRANCISCO DE MELO FILHO;Cavaleiro;23/09/1997;;;;
Gen Ex;JOÃO FRANCISCO FERREIRA;Grande-Oficial;21/10/2013;; ;;
CMG;JOÃO FRANSWILLIAM BARBOSA;Oficial;02/10/2017;;;;
Embaixador;JOÃO GENÉSIO DE ALMEIDA FILHO;Grande-Oficial;13/10/2020;;;;
SO QSS SAD;JOÃO GERALDO CARVALHO DA SILVA;Cavaleiro;19/10/2010;;;;
V Alte;JOÃO GERALDO MATTA DE ARAÚJO;Comendador;15/09/1982;;;;
Maj Brig Ar;JOÃO GERARDO LOPES MELLO;Grande-Oficial;11/09/1996;;;;
Jornalista;JOÃO GILBERTO AMARAL SOARES;Comendador;28/09/1999;;;;
SO QSS BCT;JOÃO GONÇALVES COSTA;Cavaleiro;20/09/2006;;;;
2S QSS SAD;JOÃO GONÇALVES DOS SANTOS NETO;Cavaleiro;29/09/2009;;;;
Doutor;JOÃO GRANDINO RODAS;Comendador;12/09/1995;;;;
Doutor;JOÃO GUILHERME DE ARAGÃO;Comendador;12/02/1957;;;;
Doutor;JOÃO GUILHERME LAMEIRA BITTENCOURT;Grande-Oficial;16/10/1959;;;;
2º Vice-Presidente da FIESP;JOÃO GUILHERME SABINO OMETTO;Comendador;;2.267/MD;21/10/2015;;
1º Ten QAO;JOÃO HENRIQUE COELHO DA SILVA;Cavaleiro;15/10/2018;;;;
Deputado Federal (PMDB-PI);JOÃO HENRIQUE DE ALMEIDA SOUSA;Grande-Oficial;16/09/1998;;;;
Médico do STM;JOÃO HENRIQUE RIBEIRO FERREIRA;Oficial;;3.210/GM-MD;25/09/2020;;
Embaixador;JOÃO HERMES PEREIRA DE ARAÚJO;Grande-Oficial;04/10/1976;;;;
Cel QOBM;JOÃO HILBERTO SOUZA DE FIGUEIREDO;Oficial; ;2.955/MD;22/10/2013;;
Cap QOEA SVE;JOÃO INÁCIO DA SILVA;Cavaleiro;01/10/2003;;;;
Comandante;JOÃO J. FONTOURA DORNELLES;Cavaleiro;04/10/1976;;;;
Senhor;JOÃO JAMIL ZARIF;Oficial;14/10/1992;;;;
Cel Av;JOÃO JORGE BERTOLDO GLASER;Oficial;08/09/1989;;;;
Doutor;JOÃO JORGE SAAD;Comendador;18/09/1991;;;;
SO QSS BMB;JOÃO JOSÉ MARIA CAMPIOLO;Cavaleiro;17/10/2002;;;;
S1 QSD SGS;JOÃO LAURINDO DE SOUZA;Cavaleiro;18/09/1991;;;;
Professor;JOÃO LEITÃO DE ABREU;Grande-Oficial;19/10/1970;;;;
Ten Cel Ex;JOÃO LOPES UCHÔA;Oficial;17/09/1980;;;;
Cel Av;JOÃO LÚCIO CHAVES DE MELO;Cavaleiro;26/09/2001;;;;
Cel Av;JOÃO LÚCIO GATTI;Oficial;08/09/1989;;;;
Cel Av;JOÃO LUCIO VEIGA DE ASSIS;Oficial;15/10/2018;;;;
SO QSS BEI;JOÃO LUIZ BALTAZAR ALVES;Cavaleiro;13/10/2020;;;;
Cel Med;JOÃO LUIZ BARREIROS;Cavaleiro;20/09/1984;;;;
SO QSS BCO;JOÃO LUIZ DE ANDRADE;Cavaleiro;17/10/2002;;;;
Cel Av;JOÃO LUIZ DE CASTRO GUIMARÃES;Oficial;26/09/2000;;;;
3º Secretário;JOÃO LUIZ DE MEDEIROS;Cavaleiro;05/09/1988;;;;
Cel Int R/1;JOÃO LUIZ DE SOUZA;Oficial;19/10/2010;;;;
CMG;JOÃO LUIZ FARIA DE MENEZES;Oficial;20/09/1985;;;;
Diretor de Transporte Espacial;JOÃO LUIZ FILGUEIRAS DE AZEVEDO;Comendador;26/09/2005;;;;
Comandante;JOÃO LUIZ LAMEGO ZIEGLER;Oficial;20/09/1984;;;;
Senhor;JOÃO LUIZ MARTINS NEY DA SILVA;Oficial;09/10/1972;;;;
Assessor Jurídico;JOÃO LUIZ MONTEZUMA BORGES;Cavaleiro;;1.699/MD;15/10/2016;;
Cel Av Ref;JOÃO LUIZ MOREIRA DA FONSECA;Comendador;01/10/1974;;;;
Ministro de Segunda Classe;JOÃO LUIZ PEREIRA PINTO;Comendador;25/09/2008;;;;
Engenheiro;JOÃO LUIZ RAMALHO DE CASTRO;Cavaleiro;;3.552/GM-MD;21/09/2018;;
Cel Av;JOÃO LUIZ RIBEIRO;Cavaleiro;19/10/2010;;;;
Cel Int;JOÃO LUIZ RODRIGUES;Oficial;19/10/2010;;;;
Senhor;JOÃO LUIZ RUAS FILHO;Oficial;26/09/2001;;;;
Gen Bda;JOÃO LUIZ SARAIVA DE CASTRO;Oficial;02/10/1978;;;;
2º Ten Av;JOÃO LUIZ VIDIGAL PEREIRA DAS NEVES;Oficial;20/09/1985;;;;
Doutor;JOÃO MACHADO FORTES;Oficial;17/09/1980;;;;
Cel Eng;JOÃO MACHADO GOMES FILHO;Cavaleiro;04/10/2007;;;;
Senhor;JOÃO MANGABEIRA;Grande-Oficial;11/10/1962;;;;
CMG (FN);JOÃO MANOEL CASTELO BRANCO NASCIMENTO;Oficial;13/10/1969;;;;
Cel Av;JOÃO MANOEL DA SILVA GUIMARÃES;Oficial;11/09/1996;;;;
Ten Brig Ar R/1;JOÃO MANOEL SANDIM DE REZENDE;Grã-Cruz;04/10/2007;;;;
Cel Ex;JOÃO MANOEL SIMCK BROCHADO;Comendador;18/09/1991;;;;
1º Ten Av;JOÃO MANOEL ZOLIN TAVARES;Cavaleiro;01/09/1987;;;;
Cel Pil Av;JOÃO MANUEL CORREA VIEGAS PALMAS;Oficial;14/01/1982;;;;
Primeiro-Secretário;JOÃO MARCELO MONTENEGRO PIRES;Oficial;;2.818/MD;22/10/2012;;
Engenheiro;JOÃO MÁRCIO JORDÃO;Comendador;;2.752/MD;22/10/2014;;
Cel Ex;JOÃO MARIA DE MEDEIROS;Oficial;23/09/1993;;;;
V Alte;JOÃO MARIA DIDIER BARBOSA VIANNA;Comendador;15/09/1982;;;;
Maj Esp Av;JOÃO MARIA MONTEIRO;Comendador;25/09/1979;;;;
General (Angola);JOÃO MARIA MOREIRA DE SOUSA;Comendador;04/10/2007;;;;
Doutor;JOÃO MARIA STEFANON;Oficial;07/10/1994;;;;
SO QSS SAD;JOÃO MARLOS FOGGIATO;Cavaleiro;16/09/1998;;;;
2S QSS BMA;JOÃO MARTINS CAPELLA JÚNIOR;Cavaleiro;12/10/1964;;;;
Cap Av;JOÃO MAURÍCIO CAMPOS DE MEDEIROS;Cavaleiro;04/12/1944;;;;
Suboficial BSP;JOÃO MAURICIO LANDIM SILVEIRA;Cavaleiro;20/09/2019;;;;
Cel Av;JOÃO MAURÍCIO MARQUES MAGALHÃES;Oficial;19/10/2012;;;;
Senador;JOÃO MEDEIROS CALMON;Comendador;23/09/1993;;;;
Mal Ar Eng;JOÃO MENDES DA SILVA;Grande-Oficial;12/10/1964;;;;
Embaixador;JOÃO MENDES PEREIRA;Grande-Oficial;02/10/2017;;;;
Deputado Federal (ES);JOÃO MIGUEL FEU ROSA;Grande-Oficial;26/09/2001;;;;
Ten Cel Esp CTA;JOÃO MIGUEL GOMES DA SILVA;Cavaleiro;06/09/2004;;;;
Cel PM (SP);JOÃO NEGRÃO;Oficial;07/10/1968;;;;
Cap Esp Av;JOÃO NELSON KLEIN;Cavaleiro;11/09/1996;;;;
Doutor;JOÃO NEVES DA FONTOURA;Grande-Oficial;12/10/1955;;;;
Juíz Auditor;JOÃO NUNES DAS NEVES;Oficial;19/10/1970;;;;
Doutor;JOÃO OSWALDO LEIVA;Comendador;01/09/1987;;;;
CMG;JOÃO OSWALDO PIRASSINUNGA;Oficial;04/10/1976;;;;
C Alte (IM);JOÃO OTÁVIO ABRAHAM;Comendador;16/09/1998;;;;
Presidente do Superior Tribunal de Justiça;JOÃO OTÁVIO DE NORONHA;Grande-Oficial;20/09/2019;;;;
Cel Int;JOÃO PAES DA COSTA FILHO;Oficial;01/10/2003;;;;
Brig Eng R/1;JOÃO PAULO BÓIA;Comendador;25/09/2008;;;;
Presidente da Câmara dos Deputados;JOÃO PAULO CUNHA;Grande-Oficial;01/10/2003;;;;
Embaixador;JOÃO PAULO DA SILVA PARANHOS DO RIO BRANCO;Grande-Oficial;05/10/1977;;;;
Prefeito do Recife (PE);JOÃO PAULO DE LIMA E SILVA;Grande-Oficial;04/10/2007;;;;
Ministro;JOÃO PAULO DOS REIS VELLOSO;Grande-Oficial;19/10/1970;;;;
Brig Ar;JOÃO PAULO MOREIRA BURNIER;Grande-Oficial;19/10/1970;;;;
Vice-Presidente Executivo;JOÃO PAULO ORTEGA TERRA;Cavaleiro;;2.267/MD;21/10/2015;;
Cel Int R/1;JOÃO PAULO REIS DE OLIVEIRA;Oficial;02/10/2017;;;;
Ministro de Segunda Classe;JOÃO PAULO SOARES ALSINA JÚNIOR;Comendador;;3.346/MD;08/09/2017;;
Coronel PM (PA);JOÃO PAULO VIEIRA DA SILVA;Oficial;01/10/2003;;;;
1º Secretário;JOÃO PEDRO CORRÊA COSTA;Oficial;11/09/1996;;;;
Doutor;JOÃO PEDRO GOUVÊA VIEIRA;Grande-Oficial;18/10/1961;;;;
Cel Av;JOÃO PEDRO MARTINS;Cavaleiro;21/10/2011;;;;
Cap Av;JOÃO PESSOA RAMOS;Cavaleiro;20/09/1984;;;;
Deputado Federal;JOÃO PIMENTA DA VEIGA FILHO;Grande-Oficial;16/09/1986;;;;
2º Ten Av;JOÃO PINTO BARBOSA JÚNIOR;Cavaleiro;25/09/1979;;;;
Gen Ex;JOÃO PUNARO BLEY;Comendador;14/10/1958;;;;
Cel Inf R/1;JOÃO RAFAEL MALLORCA NATAL;Cavaleiro;19/10/2010;;;;
SO QSS BET;JOÃO RAIMUNDO DE SOUZA RIBEIRO;Cavaleiro;25/09/2008;;;;
Senhor;JOÃO RIBEIRO DE BARROS;Oficial;21/01/1954;;;;
Cel Int;JOÃO RIBEIRO DE SOUZA;Oficial;23/09/1993;;;;
Professor-Doutor;JOÃO RICARDO CARNEIRO MODERNO;Comendador;25/09/2008;;;;
Gen Div;JOÃO RICARDO MACIEL MONTEIRO EVANGELHO;Grande-Oficial;19/10/2012;;;;
SO (SI);JOÃO ROBERTO BORGES DA SILVA;Cavaleiro;13/10/2020;;;;
Gen Div;JOÃO ROBERTO DE OLIVEIRA;Comendador;20/09/2006;;;;
Doutor;JOÃO ROBERTO MATOS;Cavaleiro;08/09/1989;;;;
Cap QOEA SVA R/1;JOÃO ROBERTO SANTOS SOUZA;Cavaleiro;20/09/2006;;;;
Doutor;JOÃO RODRIGUES DA CUNHA NETO;Oficial;18/09/1991;;;;
Senhor;JOÃO RODRIGUES DA SILVA FILHO;Cavaleiro;;3.210/GM-MD;25/09/2020;;
Doutor;JOÃO ROMEIRO NETO;Grande-Oficial;15/10/1963;;;;
Cel Av Ref;JOÃO SANTOS DA SILVA;Oficial;01/09/1987;;;;
General;JOÃO SARAIVA CÔRTE REAL;Comendador;18/10/1966;;;;
Cel Av R/1;JOÃO SAULO BARROS CASSÉ DA SILVA;Cavaleiro;04/10/2007;;;;
Doutor;JOÃO SAYAD;Grande-Oficial;16/09/1986;;;;
Cel PM (SP);JOÃO SIDNEY DE ALMEIDA;Oficial;23/09/1993;;;;
SO QSS SAD;JOÃO SOARES DE PONTES;Cavaleiro;20/09/1984;;;;
Ten Brig Ar Ref;JOÃO SOARES NUNES;Grã-Cruz;16/09/1986;;;;
Cel Av;JOÃO SPENCER FERREIRA DA COSTA JUNIOR;Cavaleiro;13/10/2020;;;;
Embaixador;JOÃO TABAJARA DE OLIVEIRA;Grande-Oficial;15/09/1982;;;;
Ten Brig Ar;JOÃO TADEU FIORENTINI;Grã-Cruz;31/03/2020;DOU Nº 59;26/03/2020;;
Cel Ex (Eng Mil);JOÃO TARCIZIO CARTAXO ARRUDA;Oficial;02/10/1978;;;;
Cel Int;JOÃO TELES DE SÁ;Oficial;26/09/2001;;;;
SO QSS BSP;JOÃO TELLES DA PURIFICAÇÃO FILHO;Cavaleiro;16/09/1998;;;;
1º Sgt Aer;JOÃO TELMO DA SILVA MARTINS;Cavaleiro;25/09/1979;;;;
Ten Cel Av;JOÃO TORRES LEITE SOARES;Oficial;17/09/1980;;;;
SO QSS SAD;JOÃO TOSHIO OKUYAMA;Cavaleiro;26/09/2005;;;;
Deputado Federal (AC);JOÃO TOTA SOARES DE FIGUEIREDO;Grande-Oficial;17/10/2002;;;;
General-de-Brigada;JOÃO TRANQUILLO BERALDO;Comendador;26/09/2005;;;;
Desembargador;JOÃO UCHOA CAVALCANTI NETO;Oficial;26/09/2001;;;;
SO QSS SAD;JOÃO VALDENI TATSCH RODRIGUES;Cavaleiro;11/09/1996;;;;
Cel Med;JOÃO VATER;Oficial;29/09/1971;;;;
Gen Div (Med);JOÃO VELOSO;Comendador;25/09/1981;;;;
Doutor;JOÃO VERDI CARVALHO LEITE;Oficial;05/10/1977;;;;
Professor;JOÃO VICENTE CAMPOS;Oficial;07/10/1968;;;;
Coronel Farmacêutico;JOÃO VICENTE DE OLIVEIRA;Oficial;20/09/2019;;;;
Cel Av;JOÃO VIEIRA DE SOUZA;Oficial;05/09/1988;;;;
Cel Av;JOÃO VÍTOR GUGISCH DE OLIVEIRA;Oficial;01/09/1987;;;;
2º Ten Av;JOÃO WAGNER ALVES CHAVES;Cavaleiro;17/09/1980;;;;
1º Secretário;JOÃO ZICARDI NAVAJAS;Cavaleiro;14/10/1992;;;;
